date,shortest,longest
2008-12-31,0.0,17.76
2022-10-24,0.0,0.0
2022-10-25,0.0,6.48
2022-12-31,0.38,22.02
2023-01-01,0.0,62359.52
2023-01-02,0.0,1263.08
2023-01-03,0.0,9680.61
2023-01-04,0.0,140.02
2023-01-05,0.0,9679.73
2023-01-06,0.0,4268.87
2023-01-07,0.0,225987.37
2023-01-08,0.0,82.04
2023-01-09,0.0,9674.67
2023-01-10,0.0,71.16
2023-01-11,0.0,90.63
2023-01-12,0.0,76886.52
2023-01-13,0.0,116439.71
2023-01-14,0.0,4223.15
2023-01-15,0.0,187872.33
2023-01-16,0.0,87.42
2023-01-17,0.0,7907.26
2023-01-18,0.0,9683.76
2023-01-19,0.0,9675.57
2023-01-20,0.0,11760.34
2023-01-21,0.0,5386.44
2023-01-22,0.0,33205.32
2023-01-23,0.0,258928.15
2023-01-24,0.0,4685.23
2023-01-25,0.0,7621.72
2023-01-26,0.0,9684.0
2023-01-27,0.0,14952.38
2023-01-28,0.0,10451.89
2023-01-29,0.0,2034.31
2023-01-30,0.0,3561.98
2023-01-31,0.0,85543.66
2023-02-01,1.09,17.31
